"normal_MS","progressive_MS","lesion1","lesion2","normal1","lesion3","normal2","..lesion4","normal3","normal4"
341,372,233,148,213,192,367,331,395,183
29,12,62,13,5,15,22,18,50,8
116,211,134,171,91,71,114,82,116,151
54,145,177,38,9,9,61,56,181,65
100,105,96,41,43,17,93,81,127,35
49,40,56,27,17,39,87,45,64,55
332,159,293,59,82,99,421,302,428,162
7,51,17,22,5,4,30,40,33,46
64,79,61,18,22,13,89,73,124,30
502,170,201,89,416,245,569,461,437,400
261,149,124,31,43,28,337,267,302,125
40,80,97,25,21,23,84,58,75,45
84,41,44,33,57,40,107,102,110,93
54,42,47,39,21,3,65,67,101,64
129,315,151,58,73,19,243,248,259,43
65,108,80,21,40,45,120,130,145,51
1005,1699,965,475,778,558,1148,1014,1221,669
106,64,81,21,27,47,165,84,260,151
152,1111,344,117,267,102,366,349,444,121
29,49,45,17,8,16,42,55,58,47
54,26,33,42,51,53,85,64,95,75
281,945,894,378,194,165,539,545,825,294
34,36,21,9,20,14,34,47,62,12
29,29,39,7,13,7,74,57,61,40
16,31,37,5,5,14,26,36,11,11
46,99,28,26,50,6,83,84,78,57
45,82,41,36,18,18,111,87,83,64
6,7,8,0,10,0,8,5,7,7
12,24,62,12,5,11,70,63,88,19
10,31,47,29,19,33,33,29,49,37
14,11,20,8,2,10,51,62,35,11
62,90,62,27,67,22,142,133,111,106
99,60,45,20,25,26,123,101,88,63
109,94,95,56,98,62,107,124,110,128
240,167,163,76,72,65,443,248,335,119
53,147,95,52,47,54,72,44,124,67
56,125,60,245,111,212,114,127,116,378
